series_id,series_name,description,year,period,period_name,date,value,created_at
LNU01392180,labor_force_participation,Asian women,2019,M01,January,2019-01-01,57.1,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M02,February,2019-02-01,58.2,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M03,March,2019-03-01,57.8,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M04,April,2019-04-01,55.3,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M05,May,2019-05-01,55.5,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M06,June,2019-06-01,57.3,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M07,July,2019-07-01,55.9,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M08,August,2019-08-01,57.2,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M09,September,2019-09-01,57.8,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M10,October,2019-10-01,58.2,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M11,November,2019-11-01,57.3,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2019,M12,December,2019-12-01,56.5,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M01,January,2020-01-01,55.4,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M02,February,2020-02-01,56.8,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M03,March,2020-03-01,56.2,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M04,April,2020-04-01,53.2,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M05,May,2020-05-01,53.2,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M06,June,2020-06-01,54.7,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M07,July,2020-07-01,56.8,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M08,August,2020-08-01,57.1,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M09,September,2020-09-01,56.1,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M10,October,2020-10-01,55.5,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M11,November,2020-11-01,54.6,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2020,M12,December,2020-12-01,54.5,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M01,January,2021-01-01,54.4,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M02,February,2021-02-01,54.9,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M03,March,2021-03-01,55.8,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M04,April,2021-04-01,54.8,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M05,May,2021-05-01,55.5,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M06,June,2021-06-01,56.5,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M07,July,2021-07-01,57.7,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M08,August,2021-08-01,57.1,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M09,September,2021-09-01,57.4,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M10,October,2021-10-01,58.3,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M11,November,2021-11-01,57.9,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2021,M12,December,2021-12-01,57.7,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2022,M01,January,2022-01-01,57.2,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2022,M02,February,2022-02-01,56.1,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2022,M03,March,2022-03-01,58.3,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2022,M04,April,2022-04-01,57.7,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2022,M05,May,2022-05-01,58.7,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2022,M06,June,2022-06-01,58.5,2022-08-09T14:40:46Z
LNU01392180,labor_force_participation,Asian women,2022,M07,July,2022-07-01,58.0,2022-08-09T14:40:46Z
